BU,CT,IE,fuelType,TOT_SF,TOT_A,I127,I129,I131
50.0,16425.0,4.5,UOX,335.004,39228700000.0,3.30372788106354e-06,1.02782817287635e-05,0.0
50.0,16790.0,4.5,UOX,323.226,38247000000.0,3.30372788106354e-06,1.02782812752837e-05,0.0
50.0,17155.0,4.5,UOX,311.889,37293500000.0,3.30372788106354e-06,1.02782808218038e-05,0.0
50.0,17520.0,4.5,UOX,300.978,36367300000.0,3.30372788106354e-06,1.0278280368324e-05,0.0
50.0,17885.0,4.5,UOX,290.476,35467600000.0,3.30372788106354e-06,1.02782799148442e-05,0.0
50.0,18250.0,4.5,UOX,280.367,34593500000.0,3.30372788106354e-06,1.02782794613644e-05,0.0
50.0,18615.0,4.5,UOX,270.638,33744000000.0,3.30372788106354e-06,1.02782790078847e-05,0.0
50.0,18980.0,4.5,UOX,261.274,32918600000.0,3.30372788106354e-06,1.02782785544049e-05,0.0
50.0,19345.0,4.5,UOX,252.26,32116300000.0,3.30372788106354e-06,1.02782781009252e-05,0.0
50.0,19710.0,4.5,UOX,243.585,31336400000.0,3.30372788106354e-06,1.02782776474455e-05,0.0
50.0,20075.0,4.5,UOX,235.235,30578300000.0,3.30372788106354e-06,1.02782771939658e-05,0.0
50.0,20440.0,4.5,UOX,227.198,29841200000.0,3.30372788106354e-06,1.02782767404862e-05,0.0
50.0,20805.0,4.5,UOX,219.462,29124400000.0,3.30372788106354e-06,1.02782762870065e-05,0.0
50.0,21170.0,4.5,UOX,212.017,28427500000.0,3.30372788106354e-06,1.02782758335269e-05,0.0
50.0,21535.0,4.5,UOX,204.85,27749600000.0,3.30372788106354e-06,1.02782753800473e-05,0.0
50.0,21900.0,4.5,UOX,197.952,27090300000.0,3.30372788106354e-06,1.02782749265677e-05,0.0
50.0,22265.0,4.5,UOX,191.313,26449000000.0,3.30372788106354e-06,1.02782744730882e-05,0.0
50.0,22630.0,4.5,UOX,184.922,25825100000.0,3.30372788106354e-06,1.02782740196086e-05,0.0
50.0,22995.0,4.5,UOX,178.771,25218000000.0,3.30372788106354e-06,1.02782735661291e-05,0.0
50.0,23360.0,4.5,UOX,172.85,24627400000.0,3.30372788106354e-06,1.02782731126496e-05,0.0
50.0,23725.0,4.5,UOX,167.152,24052600000.0,3.30372788106354e-06,1.02782726591701e-05,0.0
50.0,24090.0,4.5,UOX,161.666,23493300000.0,3.30372788106354e-06,1.02782722056907e-05,0.0
50.0,24455.0,4.5,UOX,156.387,22948900000.0,3.30372788106354e-06,1.02782717522112e-05,0.0
50.0,24820.0,4.5,UOX,151.305,22418900000.0,3.30372788106354e-06,1.02782712987318e-05,0.0
50.0,25185.0,4.5,UOX,146.413,21903100000.0,3.30372788106354e-06,1.02782708452524e-05,0.0
50.0,25550.0,4.5,UOX,141.705,21400900000.0,3.30372788106354e-06,1.0278270391773e-05,0.0
